State,Under 5 Million,5 to 10 Million,10 to 15 Million,15 to 20 Million,20 to 25 Million,25 to 30 Million,over 30 Million
US,211,191,76,36,25,17,10
Turkey,37,19,11,5,2,2,1
Canada,193,87,67,36,25,20,7
Iran,32,33,8,5,3,0,0
Germany,107,89,53,33,19,11,9
Spain,31,25	11,7,6,3,1
Australia,87,74,49,26,12,7,8
Sweden,29,21,17,8,6,4,1
Russia,110,78,22,16,11,9,3
Italy,34,32	11,7,5,2,1
France,85,63,32,26,16,7,4
Mexico,44,33,9,3,2,1,2
China,83,64,31,11,8	12,10
South Africa,46,37,11,2,2,3,2
Brazil,89,62,31	17,7,4,3
Argentina,34,37,19,5,4,3,1
UK,67,49,43,31,13,5,2
Indonesia,41,38,17,7,5,4,2
India,43,33,31,14,8,7,4
Japan,37,47,21,14,4,3,5
